s,0,-0.1,0.73,
j,1.12577,-0.484087,0.158614,2.02628,
j,1.12657,-0.484037,0.158519,2.02628,
j,1.12737,-0.483988,0.158424,2.02628,
j,1.12817,-0.483939,0.158329,2.02628,
j,1.12896,-0.48389,0.158234,2.02629,
j,1.12976,-0.483841,0.158139,2.02629,
j,1.13056,-0.483793,0.158045,2.02629,
j,1.13136,-0.483744,0.15795,2.02629,
j,1.13215,-0.483695,0.157855,2.02629,
j,1.13295,-0.483647,0.15776,2.02629,
j,1.13374,-0.483598,0.157664,2.02629,
j,1.13453,-0.48355,0.157569,2.0263,
j,1.13533,-0.483501,0.157474,2.0263,
j,1.13612,-0.483453,0.157379,2.0263,
j,1.13691,-0.483405,0.157284,2.0263,
j,1.1377,-0.483357,0.157189,2.0263,
j,1.13849,-0.483309,0.157094,2.0263,
j,1.13928,-0.483261,0.156999,2.0263,
j,1.14007,-0.483213,0.156903,2.02631,
j,1.14086,-0.483165,0.156808,2.02631,
j,1.14165,-0.483117,0.156713,2.02631,
j,1.14244,-0.48307,0.156618,2.02631,
j,1.14322,-0.483022,0.156522,2.02631,
j,1.14401,-0.482974,0.156427,2.02631,
j,1.1448,-0.482927,0.156332,2.02632,
j,1.14558,-0.48288,0.156237,2.02632,
j,1.14637,-0.482832,0.156141,2.02632,
j,1.14715,-0.482785,0.156046,2.02632,
j,1.14793,-0.482738,0.155951,2.02632,
j,1.14871,-0.482691,0.155855,2.02632,
j,1.1495,-0.482644,0.15576,2.02632,
j,1.15028,-0.482597,0.155664,2.02633,
j,1.15106,-0.48255,0.155569,2.02633,
j,1.15184,-0.482503,0.155474,2.02633,
j,1.15262,-0.482456,0.155378,2.02633,
j,1.15339,-0.48241,0.155283,2.02633,
j,1.15417,-0.482363,0.155187,2.02633,
j,1.15495,-0.482317,0.155092,2.02633,
j,1.15573,-0.48227,0.154996,2.02634,
j,1.1565,-0.482224,0.154901,2.02634,
j,1.15728,-0.482178,0.154805,2.02634,
j,1.15805,-0.482131,0.15471,2.02634,
j,1.15883,-0.482085,0.154614,2.02634,
j,1.1596,-0.482039,0.154519,2.02634,
j,1.16037,-0.481993,0.154423,2.02634,
j,1.16115,-0.481947,0.154328,2.02635,
j,1.16192,-0.481901,0.154232,2.02635,
j,1.16269,-0.481855,0.154136,2.02635,
j,1.16346,-0.48181,0.154041,2.02635,
j,1.16423,-0.481764,0.153945,2.02635,
j,1.165,-0.481719,0.15385,2.02635,
j,1.16577,-0.481673,0.153754,2.02635,
j,1.16653,-0.481628,0.153658,2.02636,
j,1.1673,-0.481582,0.153563,2.02636,
j,1.16807,-0.481537,0.153467,2.02636,
j,1.16883,-0.481492,0.153371,2.02636,
j,1.1696,-0.481447,0.153276,2.02636,
j,1.17036,-0.481401,0.15318,2.02636,
j,1.17113,-0.481356,0.153084,2.02636,
j,1.17189,-0.481312,0.152989,2.02637,
j,1.17265,-0.481267,0.152893,2.02637,
j,1.17342,-0.481222,0.152797,2.02637,
j,1.17418,-0.481177,0.152702,2.02637,
j,1.17494,-0.481132,0.152606,2.02637,
j,1.1757,-0.481088,0.15251,2.02637,
j,1.17646,-0.481043,0.152414,2.02637,
j,1.17722,-0.480999,0.152319,2.02638,
j,1.17798,-0.480955,0.152223,2.02638,
j,1.17873,-0.48091,0.152127,2.02638,
j,1.17949,-0.480866,0.152031,2.02638,
j,1.18025,-0.480822,0.151936,2.02638,
j,1.181,-0.480778,0.15184,2.02638,
j,1.18176,-0.480734,0.151744,2.02638,
j,1.18251,-0.48069,0.151648,2.02639,
j,1.18327,-0.480646,0.151553,2.02639,
j,1.18402,-0.480602,0.151457,2.02639,
j,1.18478,-0.480558,0.151361,2.02639,
j,1.18553,-0.480515,0.151265,2.02639,
j,1.18628,-0.480471,0.151169,2.02639,
j,1.18703,-0.480427,0.151074,2.02639,
j,1.18778,-0.480384,0.150978,2.02639,
j,1.18853,-0.480341,0.150882,2.0264,
j,1.18928,-0.480297,0.150786,2.0264,
j,1.19003,-0.480254,0.15069,2.0264,
j,1.19078,-0.480211,0.150595,2.0264,
j,1.19152,-0.480168,0.150499,2.0264,
j,1.19227,-0.480124,0.150403,2.0264,
j,1.19302,-0.480081,0.150307,2.0264,
j,1.19376,-0.480039,0.150211,2.02641,
j,1.19451,-0.479996,0.150115,2.02641,
j,1.19525,-0.479953,0.15002,2.02641,
j,1.196,-0.47991,0.149924,2.02641,
j,1.19674,-0.479867,0.149828,2.02641,
j,1.19748,-0.479825,0.149732,2.02641,
j,1.19822,-0.479782,0.149636,2.02641,
j,1.19896,-0.47974,0.149541,2.02642,
j,1.19971,-0.479698,0.149445,2.02642,
j,1.20045,-0.479655,0.149349,2.02642,
j,1.20118,-0.479613,0.149253,2.02642,
j,1.20192,-0.479571,0.149157,2.02642,
j,1.20266,-0.479529,0.149061,2.02642,
j,1.2034,-0.479487,0.148966,2.02642,
j,1.20414,-0.479445,0.14887,2.02642,
j,1.20487,-0.479403,0.148774,2.02643,
j,1.20561,-0.479361,0.148678,2.02643,
j,1.20634,-0.479319,0.148582,2.02643,
j,1.20708,-0.479277,0.148487,2.02643,
j,1.20781,-0.479236,0.148391,2.02643,
j,1.20855,-0.479194,0.148295,2.02643,
j,1.20928,-0.479152,0.148199,2.02643,
j,1.21001,-0.479111,0.148103,2.02644,
j,1.21074,-0.47907,0.148008,2.02644,
j,1.21147,-0.479028,0.147912,2.02644,
j,1.2122,-0.478987,0.147816,2.02644,
j,1.21293,-0.478946,0.14772,2.02644,
j,1.21366,-0.478905,0.147624,2.02644,
j,1.21439,-0.478864,0.147529,2.02644,
j,1.21512,-0.478823,0.147433,2.02644,
j,1.21585,-0.478782,0.147337,2.02645,
j,1.21657,-0.478741,0.147241,2.02645,
j,1.2173,-0.4787,0.147146,2.02645,
j,1.21803,-0.478659,0.14705,2.02645,
j,1.21875,-0.478619,0.146954,2.02645,
j,1.21947,-0.478578,0.146858,2.02645,
j,1.2202,-0.478537,0.146763,2.02645,
j,1.22092,-0.478497,0.146667,2.02645,
j,1.22164,-0.478457,0.146571,2.02646,
j,1.22237,-0.478416,0.146476,2.02646,
j,1.22309,-0.478376,0.14638,2.02646,
j,1.22381,-0.478336,0.146284,2.02646,
j,1.22453,-0.478295,0.146188,2.02646,
j,1.22525,-0.478255,0.146093,2.02646,
j,1.22597,-0.478215,0.145997,2.02646,
j,1.22669,-0.478175,0.145901,2.02647,
j,1.2274,-0.478135,0.145806,2.02647,
j,1.22812,-0.478096,0.14571,2.02647,
j,1.22884,-0.478056,0.145614,2.02647,
j,1.22955,-0.478016,0.145519,2.02647,
j,1.23027,-0.477976,0.145423,2.02647,
j,1.23098,-0.477937,0.145327,2.02647,
j,1.2317,-0.477897,0.145232,2.02647,
j,1.23241,-0.477858,0.145136,2.02648,
j,1.23312,-0.477819,0.145041,2.02648,
j,1.23384,-0.477779,0.144945,2.02648,
j,1.23455,-0.47774,0.144849,2.02648,
j,1.23526,-0.477701,0.144754,2.02648,
j,1.23597,-0.477662,0.144658,2.02648,
j,1.23668,-0.477622,0.144563,2.02648,
j,1.23739,-0.477583,0.144467,2.02648,
j,1.2381,-0.477544,0.144372,2.02649,
j,1.23881,-0.477506,0.144276,2.02649,
j,1.23951,-0.477467,0.144181,2.02649,
j,1.24022,-0.477428,0.144085,2.02649,
j,1.24093,-0.477389,0.14399,2.02649,
j,1.24163,-0.477351,0.143894,2.02649,
j,1.24234,-0.477312,0.143799,2.02649,
j,1.24304,-0.477273,0.143703,2.02649,
j,1.24375,-0.477235,0.143608,2.0265,
j,1.24445,-0.477197,0.143512,2.0265,
j,1.24516,-0.477158,0.143417,2.0265,
j,1.24586,-0.47712,0.143322,2.0265,
j,1.24656,-0.477082,0.143226,2.0265,
j,1.24726,-0.477044,0.143131,2.0265,
j,1.24796,-0.477006,0.143035,2.0265,
j,1.24863,-0.476914,0.141886,2.02621,
j,1.24923,-0.476706,0.139208,2.02526,
j,1.24975,-0.476355,0.135237,2.02347,
j,1.2502,-0.475874,0.130601,2.02113,
j,1.25061,-0.475298,0.125896,2.01863,
j,1.25099,-0.47466,0.121387,2.01617,
j,1.25135,-0.47399,0.117177,2.01385,
j,1.25171,-0.473311,0.113301,2.01171,
j,1.25206,-0.472647,0.109755,2.00977,
j,1.25241,-0.472009,0.106516,2.00785,
j,1.25276,-0.471415,0.10356,2.00592,
j,1.25311,-0.470877,0.100867,2.00409,
j,1.25346,-0.470405,0.0984165,2.0024,
j,1.2538,-0.470004,0.0961863,2.00088,
j,1.25415,-0.469676,0.0941564,1.99952,
j,1.2545,-0.469409,0.092156,1.99813,
j,1.25483,-0.46919,0.0901602,1.99652,
j,1.25516,-0.469011,0.0881027,1.99459,
j,1.25547,-0.468867,0.0860185,1.9925,
j,1.25578,-0.468764,0.0840188,1.99043,
j,1.25608,-0.468701,0.0821487,1.98848,
j,1.25637,-0.468675,0.080422,1.9867,
j,1.25667,-0.468682,0.0788382,1.9851,
j,1.25696,-0.468718,0.0773902,1.98366,
j,1.25725,-0.468776,0.0760685,1.98239,
j,1.25754,-0.468853,0.0748629,1.98126,
j,1.25783,-0.468939,0.0737589,1.98009,
j,1.25813,-0.469038,0.0728926,1.97883,
j,1.25843,-0.469157,0.0722605,1.9776,
j,1.25875,-0.4693,0.071905,1.97644,
j,1.25907,-0.469468,0.0717766,1.97538,
j,1.2594,-0.469653,0.0717503,1.97443,
j,1.25974,-0.469847,0.0717635,1.97358,
j,1.26008,-0.470039,0.071786,1.97265,
j,1.26043,-0.470232,0.0719509,1.9716,
j,1.26078,-0.47043,0.0722586,1.97055,
j,1.26114,-0.470628,0.0726115,1.96956,
j,1.2615,-0.470821,0.0729646,1.96865,
j,1.26187,-0.471005,0.0732977,1.96782,
j,1.26223,-0.471174,0.0736032,1.96708,
j,1.2626,-0.471326,0.0738789,1.96642,
j,1.26297,-0.471457,0.0741255,1.96583,
j,1.26334,-0.471567,0.0743446,1.96531,
j,1.2637,-0.471654,0.0745385,1.96484,
j,1.26407,-0.471719,0.0747095,1.96443,
j,1.26443,-0.471761,0.0748596,1.96406,
j,1.2648,-0.471783,0.0749909,1.96373,
j,1.26517,-0.471786,0.0751053,1.96344,
j,1.26553,-0.471773,0.0752042,1.96317,
j,1.2659,-0.471745,0.0752893,1.96294,
j,1.26626,-0.471705,0.0753618,1.96273,
j,1.26663,-0.471655,0.075423,1.96254,
j,1.26699,-0.471598,0.075474,1.96238,
j,1.26736,-0.471535,0.0755156,1.96223,
j,1.26772,-0.471468,0.0755488,1.96209,
j,1.26809,-0.471399,0.0755743,1.96197,
j,1.26845,-0.471331,0.0755927,1.96186,
j,1.26881,-0.471263,0.0756047,1.96177,
j,1.26918,-0.471199,0.075611,1.96168,
j,1.26954,-0.471138,0.075613,1.96161,
j,1.2699,-0.471081,0.0756127,1.96154,
j,1.27027,-0.471029,0.0756105,1.96148,
j,1.27063,-0.470983,0.0756057,1.96143,
j,1.27099,-0.470941,0.0755974,1.96139,
j,1.27135,-0.470906,0.0755853,1.96135,
j,1.27171,-0.470875,0.0755696,1.96131,
j,1.27207,-0.47085,0.0755504,1.96128,
j,1.27243,-0.47083,0.0755279,1.96126,
j,1.27279,-0.470813,0.0755024,1.96124,
j,1.27315,-0.470801,0.0754742,1.96122,
j,1.27351,-0.470792,0.0754435,1.9612,
j,1.27387,-0.470786,0.0754104,1.96119,
j,1.27423,-0.470782,0.0753753,1.96118,
j,1.27459,-0.47078,0.0753384,1.96117,
j,1.27496,-0.470815,0.0756064,1.96187,
j,1.27534,-0.470913,0.0763423,1.9637,
j,1.27575,-0.471061,0.0773518,1.9664,
j,1.27618,-0.471246,0.0785876,1.96967,
j,1.27662,-0.471459,0.0799628,1.97335,
j,1.27707,-0.47168,0.081336,1.97715,
j,1.27753,-0.471894,0.0826408,1.98081,
j,1.27799,-0.472092,0.0838506,1.98422,
j,1.27845,-0.472269,0.0849578,1.98732,
j,1.27892,-0.472422,0.0859638,1.99011,
j,1.27938,-0.47255,0.086874,1.9926,
j,1.27985,-0.472653,0.0876954,1.99481,
j,1.28031,-0.472732,0.0884353,1.99677,
j,1.28077,-0.472787,0.0891011,1.9985,
j,1.28124,-0.472821,0.0896994,2.00003,
j,1.2817,-0.472835,0.0902366,2.00138,
j,1.28216,-0.472833,0.0907182,2.00257,
j,1.28262,-0.472808,0.091002,2.00362,
j,1.28307,-0.47276,0.0910903,2.00455,
j,1.28351,-0.47269,0.0910895,2.00538,
j,1.28395,-0.472604,0.0910481,2.00611,
j,1.28439,-0.472506,0.0909883,2.00674,
j,1.28482,-0.472399,0.0909204,2.00731,
j,1.28526,-0.472289,0.0908495,2.0078,
j,1.28569,-0.472177,0.090778,2.00824,
j,1.28612,-0.472067,0.0907068,2.00863,
j,1.28656,-0.471961,0.0906363,2.00897,
j,1.28699,-0.471862,0.0905666,2.00927,
j,1.28742,-0.47177,0.0904976,2.00953,
j,1.28785,-0.471688,0.0904293,2.00977,
j,1.28828,-0.471615,0.0903614,2.00998,
j,1.28871,-0.471552,0.0902939,2.01016,
j,1.28915,-0.471499,0.0902266,2.01033,
j,1.28958,-0.471456,0.0901595,2.01048,
j,1.29001,-0.471422,0.0900925,2.01061,
j,1.29043,-0.471396,0.0900255,2.01072,
j,1.29086,-0.471379,0.0899585,2.01083,
j,1.29129,-0.471368,0.0898914,2.01092,
j,1.29172,-0.471364,0.0898243,2.01101,
j,1.29215,-0.471364,0.0897571,2.01108,
j,1.29257,-0.471367,0.0896899,2.01115,
j,1.293,-0.471372,0.0896227,2.01121,
j,1.29343,-0.471378,0.0895556,2.01126,
j,1.29385,-0.471386,0.0894884,2.01131,
j,1.29428,-0.471394,0.0894213,2.01135,
j,1.2947,-0.471401,0.0893542,2.01138,
j,1.29513,-0.471407,0.0892872,2.01142,
j,1.29555,-0.471412,0.0892203,2.01145,
j,1.29598,-0.471415,0.0891535,2.01147,
j,1.2964,-0.471417,0.0890869,2.01149,
j,1.29682,-0.471417,0.0890204,2.01152,
j,1.29725,-0.471416,0.0889539,2.01153,
j,1.29767,-0.471413,0.0888876,2.01155,
j,1.29809,-0.471409,0.0888214,2.01156,
j,1.29851,-0.471403,0.0887554,2.01158,
j,1.29893,-0.471396,0.0886896,2.01159,
j,1.29936,-0.471387,0.0886239,2.0116,
j,1.29978,-0.471377,0.0885584,2.0116,
j,1.3002,-0.471365,0.088493,2.01161,
j,1.30062,-0.471352,0.0884278,2.01162,
j,1.30104,-0.471338,0.0883627,2.01162,
j,1.30146,-0.471323,0.0882978,2.01163,
j,1.30188,-0.471308,0.0882331,2.01163,
j,1.3023,-0.471292,0.0881684,2.01164,
j,1.30271,-0.471275,0.0881039,2.01164,
j,1.30313,-0.471258,0.0880395,2.01164,
j,1.30355,-0.471241,0.0879752,2.01164,
j,1.30397,-0.471224,0.087911,2.01165,
j,1.30439,-0.471207,0.0878469,2.01165,
j,1.3048,-0.47119,0.0877829,2.01165,
j,1.30522,-0.471173,0.0877189,2.01165,
j,1.30564,-0.471156,0.087655,2.01165,
j,1.30605,-0.47114,0.0875912,2.01165,
j,1.30647,-0.471124,0.0875274,2.01166,
j,1.30688,-0.471108,0.0874637,2.01166,
j,1.3073,-0.471093,0.0874,2.01166,
j,1.30771,-0.471078,0.0873363,2.01166,
j,1.30813,-0.471064,0.0872727,2.01166,
j,1.30854,-0.471049,0.0872091,2.01166,
j,1.30896,-0.471036,0.0871455,2.01166,
j,1.30937,-0.471022,0.087082,2.01166,
j,1.30978,-0.471009,0.0870185,2.01166,
j,1.31019,-0.470996,0.086955,2.01167,
j,1.31061,-0.470983,0.0868916,2.01167,
j,1.31102,-0.47097,0.0868282,2.01167,
j,1.31143,-0.470957,0.0867648,2.01167,
j,1.31184,-0.470945,0.0867015,2.01167,
j,1.31225,-0.470932,0.0866381,2.01167,
j,1.31266,-0.47092,0.0865749,2.01167,
j,1.31308,-0.470907,0.0865116,2.01167,
j,1.31349,-0.470895,0.0864484,2.01167,
j,1.3139,-0.470882,0.0863853,2.01167,
j,1.3143,-0.47087,0.0863221,2.01167,
j,1.31471,-0.470857,0.086259,2.01167,
j,1.31512,-0.470844,0.086196,2.01168,
j,1.31553,-0.470832,0.086133,2.01168,
j,1.31594,-0.470819,0.08607,2.01168,
j,1.31635,-0.470806,0.086007,2.01168,
j,1.31675,-0.470793,0.0859442,2.01168,
j,1.31716,-0.47078,0.0858813,2.01168,
j,1.31757,-0.470767,0.0858185,2.01168,
j,1.31798,-0.470754,0.0857557,2.01168,
j,1.31838,-0.470741,0.085693,2.01168,
j,1.31879,-0.470728,0.0856303,2.01168,
j,1.31919,-0.470715,0.0855677,2.01168,
j,1.3196,-0.470702,0.085505,2.01168,
j,1.32,-0.470689,0.0854425,2.01168,
j,1.32041,-0.470676,0.0853799,2.01168,
j,1.32081,-0.470663,0.0853174,2.01168,
j,1.32122,-0.47065,0.085255,2.01168,
j,1.32162,-0.470637,0.0851926,2.01168,
j,1.32202,-0.470624,0.0851302,2.01168,
j,1.32243,-0.470611,0.0850679,2.01169,
j,1.32283,-0.470598,0.0850056,2.01169,
j,1.32323,-0.470585,0.0849433,2.01169,
j,1.32363,-0.470572,0.0848811,2.01169,
j,1.32404,-0.47056,0.0848189,2.01169,
j,1.32444,-0.470547,0.0847567,2.01169,
j,1.32484,-0.470534,0.0846946,2.01169,
j,1.32524,-0.470521,0.0846325,2.01169,
j,1.32564,-0.470509,0.0845705,2.01169,
j,1.32604,-0.470496,0.0845085,2.01169,
j,1.32644,-0.470484,0.0844465,2.01169,
j,1.32684,-0.470471,0.0843845,2.01169,
j,1.32724,-0.470458,0.0843226,2.01169,
j,1.32764,-0.470446,0.0842608,2.01169,
j,1.32804,-0.470433,0.0841989,2.01169,
j,1.32843,-0.470421,0.0841372,2.01169,
j,1.32883,-0.470409,0.0840754,2.01169,
j,1.32923,-0.470396,0.0840137,2.01169,
j,1.32963,-0.470384,0.083952,2.01169,
j,1.33002,-0.470371,0.0838903,2.0117,
j,1.33042,-0.470359,0.0838287,2.0117,
j,1.33082,-0.470347,0.0837672,2.0117,
j,1.33121,-0.470334,0.0837056,2.0117,
j,1.33161,-0.470322,0.0836441,2.0117,
j,1.332,-0.47031,0.0835827,2.0117,
j,1.3324,-0.470297,0.0835212,2.0117,
j,1.33279,-0.470285,0.0834598,2.0117,
j,1.33319,-0.470273,0.0833985,2.0117,
j,1.33358,-0.470261,0.0833372,2.0117,
j,1.33398,-0.470248,0.0832759,2.0117,
j,1.33437,-0.470236,0.0832146,2.0117,
j,1.33476,-0.470224,0.0831534,2.0117,
j,1.33516,-0.470212,0.0830923,2.0117,
j,1.33555,-0.4702,0.0830311,2.0117,
j,1.33594,-0.470188,0.08297,2.0117,
j,1.33633,-0.470176,0.082909,2.0117,
j,1.33673,-0.470163,0.0828479,2.0117,
j,1.33712,-0.470151,0.082787,2.01171,
j,1.33751,-0.470139,0.082726,2.01171,
j,1.3379,-0.470127,0.0826651,2.01171,
j,1.33829,-0.470115,0.0826042,2.01171,
j,1.33868,-0.470103,0.0825434,2.01171,
j,1.33907,-0.470091,0.0824826,2.01171,
j,1.33946,-0.470079,0.0824218,2.01171,
j,1.33985,-0.470067,0.0823611,2.01171,
j,1.34024,-0.470055,0.0823004,2.01171,
j,1.34063,-0.470044,0.0822397,2.01171,
j,1.34101,-0.470032,0.0821791,2.01171,
j,1.3414,-0.47002,0.0821185,2.01171,
j,1.34179,-0.470008,0.082058,2.01171,
j,1.34218,-0.469996,0.0819975,2.01171,
j,1.34256,-0.469984,0.081937,2.01171,
j,1.34295,-0.469973,0.0818766,2.01171,
j,1.34334,-0.469961,0.0818162,2.01171,
j,1.34372,-0.469949,0.0817558,2.01171,
j,1.34411,-0.469937,0.0816955,2.01171,
j,1.34449,-0.469926,0.0816352,2.01172,
j,1.34488,-0.469914,0.0815749,2.01172,
j,1.34526,-0.469902,0.0815147,2.01172,
j,1.34565,-0.469891,0.0814546,2.01172,
j,1.34603,-0.469879,0.0813944,2.01172,
j,1.34642,-0.469867,0.0813343,2.01172,
j,1.3468,-0.469856,0.0812742,2.01172,
j,1.34718,-0.469844,0.0812142,2.01172,
j,1.34757,-0.469832,0.0811542,2.01172,
j,1.34795,-0.469821,0.0810942,2.01172,
j,1.34833,-0.469809,0.0810343,2.01172,
j,1.34872,-0.469798,0.0809744,2.01172,
j,1.3491,-0.469786,0.0809146,2.01172,
j,1.34948,-0.469775,0.0808548,2.01172,
j,1.34986,-0.469763,0.080795,2.01172,
j,1.35024,-0.469752,0.0807353,2.01172,
j,1.35062,-0.469741,0.0806756,2.01172,
j,1.351,-0.469729,0.0806159,2.01172,
j,1.35138,-0.469718,0.0805563,2.01172,
j,1.35176,-0.469706,0.0804967,2.01173,
j,1.35214,-0.469695,0.0804371,2.01173,
j,1.35252,-0.469684,0.0803776,2.01173,
j,1.3529,-0.469672,0.0803181,2.01173,
j,1.35328,-0.469661,0.0802587,2.01173,
j,1.35366,-0.46965,0.0801993,2.01173,
j,1.35403,-0.469639,0.0801399,2.01173,
j,1.35441,-0.469627,0.0800806,2.01173,
j,1.35479,-0.469616,0.0800213,2.01173,
j,1.35517,-0.469605,0.079962,2.01173,
j,1.35554,-0.469594,0.0799028,2.01173,
j,1.35592,-0.469583,0.0798436,2.01173,
j,1.35629,-0.469571,0.0797844,2.01173,
j,1.35667,-0.46956,0.0797253,2.01173,
j,1.35705,-0.469549,0.0796662,2.01173,
j,1.35742,-0.469538,0.0796072,2.01173,
j,1.3578,-0.469527,0.0795482,2.01173,
j,1.35817,-0.469516,0.0794892,2.01173,
j,1.35854,-0.469505,0.0794303,2.01173,
j,1.35892,-0.469494,0.0793714,2.01173,
j,1.35929,-0.469483,0.0793125,2.01174,
j,1.35967,-0.469472,0.0792537,2.01174,
j,1.36004,-0.469461,0.0791949,2.01174,
j,1.36041,-0.46945,0.0791362,2.01174,
j,1.36078,-0.469439,0.0790774,2.01174,
j,1.36116,-0.469428,0.0790188,2.01174,
j,1.36153,-0.469417,0.0789601,2.01174,
j,1.3619,-0.469406,0.0789015,2.01174,
j,1.36227,-0.469395,0.0788429,2.01174,
j,1.36264,-0.469384,0.0787844,2.01174,
j,1.36301,-0.469373,0.0787259,2.01174,
j,1.36338,-0.469363,0.0786675,2.01174,
j,1.36375,-0.469352,0.078609,2.01174,
j,1.36412,-0.469341,0.0785507,2.01174,
j,1.36449,-0.46933,0.0784923,2.01174,
j,1.36486,-0.469319,0.078434,2.01174,
j,1.36523,-0.469309,0.0783757,2.01174,
j,1.3656,-0.469298,0.0783175,2.01174,
j,1.36597,-0.469287,0.0782593,2.01174,
j,1.36634,-0.469277,0.0782011,2.01175,
j,1.3667,-0.469266,0.078143,2.01175,
j,1.36707,-0.469255,0.0780849,2.01175,
j,1.36744,-0.469245,0.0780268,2.01175,
j,1.36781,-0.469234,0.0779688,2.01175,
j,1.36817,-0.469223,0.0779108,2.01175,
j,1.36854,-0.469213,0.0778529,2.01175,
j,1.36891,-0.469202,0.077795,2.01175,
j,1.36927,-0.469192,0.0777371,2.01175,
j,1.36964,-0.469181,0.0776793,2.01175,
j,1.37,-0.469171,0.0776215,2.01175,
j,1.37037,-0.46916,0.0775637,2.01175,
j,1.37073,-0.46915,0.077506,2.01175,
j,1.3711,-0.469139,0.0774483,2.01175,
j,1.37146,-0.469129,0.0773906,2.01175,
j,1.37182,-0.469118,0.077333,2.01175,
j,1.37219,-0.469108,0.0772754,2.01175,
j,1.37255,-0.469097,0.0772179,2.01175,
j,1.37291,-0.469087,0.0771604,2.01175,
j,1.37328,-0.469077,0.0771029,2.01175,
j,1.37364,-0.469066,0.0770454,2.01175,
j,1.374,-0.469056,0.076988,2.01176,
j,1.37436,-0.469046,0.0769307,2.01176,
j,1.37472,-0.469035,0.0768734,2.01176,
j,1.37508,-0.469025,0.0768161,2.01176,
j,1.37544,-0.469015,0.0767588,2.01176,
j,1.37581,-0.469004,0.0767016,2.01176,
j,1.37617,-0.468994,0.0766444,2.01176,
j,1.37653,-0.468984,0.0765873,2.01176,
j,1.37689,-0.468974,0.0765302,2.01176,
j,1.37724,-0.468963,0.0764731,2.01176,
j,1.3776,-0.468953,0.076416,2.01176,
j,1.37796,-0.468943,0.076359,2.01176,
j,1.37832,-0.468933,0.0763021,2.01176,
j,1.37868,-0.468923,0.0762451,2.01176,
j,1.37904,-0.468913,0.0761883,2.01176,
j,1.3794,-0.468903,0.0761314,2.01176,
j,1.37975,-0.468893,0.0760746,2.01176,
j,1.38011,-0.468882,0.0760178,2.01176,
j,1.38047,-0.468872,0.0759611,2.01176,
j,1.38082,-0.468862,0.0759043,2.01176,
j,1.38118,-0.468852,0.0758477,2.01177,
j,1.38154,-0.468842,0.075791,2.01177,
j,1.38189,-0.468832,0.0757344,2.01177,
j,1.38225,-0.468822,0.0756779,2.01177,
j,1.3826,-0.468812,0.0756213,2.01177,
j,1.38296,-0.468802,0.0755648,2.01177,
j,1.38331,-0.468792,0.0755084,2.01177,
j,1.38367,-0.468783,0.075452,2.01177,
j,1.38402,-0.468773,0.0753956,2.01177,
j,1.38437,-0.468763,0.0753392,2.01177,
j,1.38473,-0.468753,0.0752829,2.01177,
j,1.38508,-0.468743,0.0752266,2.01177,
j,1.38543,-0.468733,0.0751704,2.01177,
j,1.38579,-0.468723,0.0751142,2.01177,
j,1.38614,-0.468714,0.075058,2.01177,
j,1.38649,-0.468704,0.0750019,2.01177,
j,1.38684,-0.468694,0.0749458,2.01177,
j,1.38719,-0.468684,0.0748898,2.01177,
j,1.38754,-0.468675,0.0748337,2.01177,
j,1.38789,-0.468665,0.0747777,2.01177,
j,1.38825,-0.468655,0.0747218,2.01177,
j,1.3886,-0.468645,0.0746659,2.01178,
j,1.38895,-0.468636,0.07461,2.01178,
j,1.3893,-0.468626,0.0745542,2.01178,
j,1.38965,-0.468616,0.0744984,2.01178,
j,1.38999,-0.468607,0.0744426,2.01178,
j,1.39034,-0.468597,0.0743869,2.01178,
j,1.39069,-0.468588,0.0743312,2.01178,
j,1.39104,-0.468578,0.0742755,2.01178,
j,1.39139,-0.468568,0.0742199,2.01178,
j,1.39174,-0.468559,0.0741643,2.01178,
j,1.39208,-0.468549